key,0,1,2,3,4,5,6,7,8,9
#,Item,,,,Quest{Required}[0],Quest{Required}[1],Achievement{Required},,State{Required},Patch
int32,Item,bit&01,byte,byte,Quest,Quest,Achievement,byte,uint16,uint16
262144.0,"Potion of Strength",False,0,0,,,"",0,0,0
262144.1,"Potion of Dexterity",False,0,0,,,"",0,0,0
262144.2,"Potion of Vitality",False,0,0,,,"",0,0,0
262144.3,"Potion of Intelligence",False,0,0,,,"",0,0,0
262144.4,"Potion of Mind",False,0,0,,,"",0,0,0
262144.5,"Hi-Potion of Strength",False,0,0,,,"",0,0,0
262144.6,"Hi-Potion of Dexterity",False,0,0,,,"",0,0,0
262144.7,"Hi-Potion of Vitality",False,0,0,,,"",0,0,0
262144.8,"Hi-Potion of Intelligence",False,0,0,,,"",0,0,0
262144.9,"Hi-Potion of Mind",False,0,0,,,"",0,0,0
262144.10,"Mega-Potion of Strength",False,0,0,,,"",0,0,410
262144.11,"Mega-Potion of Dexterity",False,0,0,,,"",0,0,410
262144.12,"Mega-Potion of Vitality",False,0,0,,,"",0,0,410
262144.13,"Mega-Potion of Intelligence",False,0,0,,,"",0,0,410
262144.14,"Mega-Potion of Mind",False,0,0,,,"",0,0,410
262144.15,"X-Potion of Strength",False,0,0,,,"",0,0,420
262144.16,"X-Potion of Dexterity",False,0,0,,,"",0,0,420
262144.17,"X-Potion of Vitality",False,0,0,,,"",0,0,420
262144.18,"X-Potion of Intelligence",False,0,0,,,"",0,0,420
262144.19,"X-Potion of Mind",False,0,0,,,"",0,0,420
262144.20,"High House Justaucorps",False,36,46,,,"",0,0,0
262145.0,"Potion",True,0,0,,,"",0,0,0
262145.1,"Leather Eyepatch",False,36,0,,,"",0,0,0
262145.2,"Hi-Potion",False,0,0,"The Princess and the Fish",,"",0,0,0
262145.3,"Mega-Potion",False,0,0,"The Princess and the Fish","Every Fish Has a Silver Lining","",0,0,0
262145.4,"X-Potion",False,0,0,"The Princess and the Fish",,"The Mob Squad III",0,0,0
262145.5,"Ether",False,0,0,"The Princess and the Fish",,"The Mob Squad III",1,0,0
262145.6,"Hi-Ether",False,0,0,"The Princess and the Fish","Every Fish Has a Silver Lining","The Mob Squad III",0,0,0
262145.7,"Mega-Ether",False,0,0,"The Princess and the Fish","Every Fish Has a Silver Lining","The Mob Squad III",1,0,0
262151.0,"Gysahl Greens",False,0,0,,,"",0,100,0
262151.1,"Cherry Bomb",False,0,0,,,"",0,100,0
262151.2,"Mammet #001",False,0,0,,,"",0,100,0
262151.3,"Wayward Hatchling",False,0,0,,,"",0,100,0
262151.4,"Clear Prism",False,0,0,,,"",0,100,0
262151.5,"Glamour Dispeller",False,0,0,,,"",0,100,0
262151.6,"Wailers and Waterwheels Orchestrion Roll",False,0,0,,,"",0,100,0
262151.7,"Dance of the Fireflies Orchestrion Roll",False,0,0,,,"",0,100,0
262151.8,"Serenity Orchestrion Roll",False,0,0,,,"",0,100,0
262151.9,"Behind Closed Doors Orchestrion Roll",False,0,0,,,"",0,100,0
262151.10,"The Faces We Wear - Simple Spectacles",False,0,0,,,"",0,100,700
262151.11,"The Faces We Wear - Monocles",False,0,0,,,"",0,100,700
262151.12,"The Faces We Wear - Eyepatch (Left)",False,0,0,,,"",0,100,720
262151.13,"The Faces We Wear - Eyepatch (Right)",False,0,0,,,"",0,100,720
262152.0,"Potion",False,0,0,,,"",0,100,0
262153.0,"Potion",False,0,0,,,"",0,100,0
262154.0,"Potion",False,0,0,,,"",0,100,0
262155.0,"Potion",False,0,0,,,"",0,100,0
262156.0,"Potion",False,0,0,,,"",0,100,0
262157.0,"Carnation",False,0,0,,,"",0,100,0
262157.1,"Cloves",False,0,0,,,"",0,100,0
262157.2,"Fish Meal",False,0,0,,,"",0,100,0
262157.3,"Krakka Root Seeds",False,0,0,,,"",0,100,0
262157.4,"Oldrose Seeds",False,0,0,,,"",0,100,0
262157.5,"Red Pomace",False,0,0,,,"",0,100,0
262157.6,"Blue Pomace",False,0,0,,,"",0,100,0
262157.7,"Mountain Pomace",False,0,0,,,"",0,100,0
262157.8,"Viola Seeds",False,0,0,,,"",0,100,0
262157.9,"Potting Soil",False,0,0,,,"",0,100,0
262157.10,"Shroud Cherry Sapling",False,0,0,,,"",0,100,0
262157.11,"Sumptuous Dimension Castle Vase",False,0,0,,,"",0,100,430
262157.12,"Imposing Dimension Castle Vase",False,0,0,,,"",0,100,430
262157.13,"Daisy Seeds",False,0,0,,,"",0,100,0
262157.14,"Brightlily Seeds",False,0,0,,,"",0,100,0
262157.15,"Tulip Bulbs",False,0,0,,,"",0,100,0
262157.16,"Dahlia Bulbs",False,0,0,,,"",0,100,0
262157.17,"Gridanian Bouquet",False,0,0,,,"",0,100,440
262157.18,"Arum Bulbs",False,0,0,,,"",0,100,440
262157.19,"Lily of the Valley Pips",False,0,0,,,"",0,100,450
262157.20,"Hydrangea Seeds",False,0,0,,,"",0,100,500
262157.21,"Basket of Flowers",False,0,0,,,"",0,100,510
262157.22,"Campanula Seeds",False,0,0,,,"",0,100,510
262157.23,"Hyacinth Bulbs",False,0,0,,,"",0,100,520
262157.24,"Sunflower Bouquet",False,0,0,,,"",0,100,520
262157.25,"Allagan Melon Seeds",False,0,0,,,"",0,100,530
262157.26,"Cosmos Seeds",False,0,0,,,"",0,100,530
262157.27,"Carnation Seeds",False,0,0,,,"",0,100,540
262157.28,"Moth Orchid Seeds",False,0,0,,,"",0,100,550
262157.29,"Triteleia Seeds",False,0,0,,,"",0,100,600
262157.30,"Byregotia Seeds",False,0,0,,,"",0,100,610
262157.31,"Sweet Pea Seeds",False,0,0,,,"",0,100,620
262157.32,"Morning Glory Seeds",False,0,0,,,"",0,100,630
262157.33,"Chrysanthemum Seeds",False,0,0,,,"",0,100,640
262157.34,"Lupin Seeds",False,0,0,,,"",0,100,650
262157.35,"Garden Sunflower Seeds",False,0,0,,,"",0,100,700
262157.36,"Cattleya Seeds",False,0,0,,,"",0,100,710
262157.37,"Paperflower Seeds",False,0,0,,,"",0,100,720
262158.0,"Gysahl Greens",False,0,0,,,"",0,100,0
262158.1,"Cherry Bomb",False,0,0,,,"",0,100,0
262158.2,"Mammet #001",False,0,0,,,"",0,100,0
262158.3,"Wayward Hatchling",False,0,0,,,"",0,100,0
262158.4,"Clear Prism",False,0,0,,,"",0,100,0
262158.5,"Glamour Dispeller",False,0,0,,,"",0,100,0
262158.6,"I Am the Sea Orchestrion Roll",False,0,0,,,"",0,100,0
262158.7,"A Sailor Never Sleeps Orchestrion Roll",False,0,0,,,"",0,100,0
262158.8,"On Westerly Winds Orchestrion Roll",False,0,0,,,"",0,100,0
262158.9,"Behind Closed Doors Orchestrion Roll",False,0,0,,,"",0,100,0
262158.10,"The Faces We Wear - Simple Spectacles",False,0,0,,,"",0,100,700
262158.11,"The Faces We Wear - Monocles",False,0,0,,,"",0,100,700
262158.12,"The Faces We Wear - Eyepatch (Left)",False,0,0,,,"",0,100,720
