key,0,1,2,3,4,5,6,7,8,9,10
#,StampIcon,,Category,,,,,,Name,,
int32,Image,int32,GroupPoseStampCategory,uint16,byte,uint32,int32,bit&01,bit&02,bit&04,str
0,,0,"None",0,10,0,0,False,False,False,"None"
1,"ui/icon/120000/en/120021.tex",2,"Duty",200,10,0,0,False,False,False,"Duty Commenced"
2,"ui/icon/120000/en/120022.tex",2,"Duty",201,10,0,0,False,False,False,"Duty Complete"
3,,0,"None",0,0,0,0,False,False,False,""
4,"ui/icon/120000/en/120024.tex",2,"Duty",203,10,0,0,False,False,False,"Forward!"
5,"ui/icon/120000/en/120001.tex",2,"Quest",100,10,0,0,False,False,False,"Quest Accepted"
6,"ui/icon/120000/en/120002.tex",2,"Quest",101,10,0,0,False,False,False,"Quest Complete"
7,"ui/icon/120000/en/120081.tex",2,"FATE",303,10,0,0,False,False,False,"FATE Joined"
8,"ui/icon/120000/en/120082.tex",2,"FATE",304,10,0,0,False,False,False,"FATE Complete"
9,,0,"None",0,0,0,0,False,False,False,""
10,"ui/icon/120000/en/120111.tex",2,"General",10,10,0,0,False,False,False,"Level Up!"
11,"ui/icon/121000/en/121561.tex",2,"Gold Saucer",400,10,0,0,False,False,False,"GATE Joined"
12,"ui/icon/121000/en/121562.tex",2,"Gold Saucer",401,10,0,0,False,False,False,"GATE Complete"
13,,0,"None",0,0,0,0,False,False,False,""
14,"ui/icon/121000/en/121551.tex",2,"Gold Saucer",403,10,0,0,False,False,False,"Chocobo Race: Start!"
15,"ui/icon/121000/en/121552.tex",2,"Gold Saucer",404,10,0,0,False,False,False,"Chocobo Race: Goal!"
16,"ui/icon/121000/en/121553.tex",2,"Gold Saucer",405,10,0,0,False,False,False,"Chocobo Race: Challenge Complete"
17,"ui/icon/121000/en/121501.tex",2,"Gold Saucer",406,10,0,0,False,False,False,"Monster Toss: Nice Shot!"
18,"ui/icon/121000/en/121502.tex",2,"Gold Saucer",407,10,0,0,False,False,False,"Monster Toss: Miss"
19,"ui/icon/121000/en/121511.tex",2,"Gold Saucer",408,10,0,0,False,False,False,"Mini-game: Pulverizing!!!"
20,"ui/icon/121000/en/121512.tex",2,"Gold Saucer",409,10,0,0,False,False,False,"Mini-game: Crushing!!"
21,"ui/icon/121000/en/121513.tex",2,"Gold Saucer",410,10,0,0,False,False,False,"Mini-game: Glancing!"
22,,0,"None",0,0,0,0,False,False,False,""
23,"ui/icon/120000/en/120114.tex",2,"General",23,10,0,0,False,False,False,"Light Party"
24,"ui/icon/120000/en/120115.tex",2,"General",24,10,0,0,False,False,False,"Full Party"
25,"ui/icon/120000/en/120119.tex",2,"General",11,10,0,0,False,False,False,"Level Down..."
26,"ui/icon/076000/076391.tex",2,"Logos",2,10,0,0,True,False,False,"FINAL FANTASY XIV Online (White)"
27,"ui/icon/076000/076392.tex",2,"Logos",1,10,0,0,True,False,False,"FINAL FANTASY XIV Online (Black)"
28,,0,"None",0,0,0,0,False,False,False,""
29,,0,"None",0,0,0,0,False,False,False,""
30,"ui/icon/076000/076531.tex",1,"Triple Triad",1,10,0,0,True,False,False,"Triple Triad: ★"
31,"ui/icon/076000/076532.tex",1,"Triple Triad",2,10,0,0,True,False,False,"Triple Triad: ★★"
32,"ui/icon/076000/076533.tex",1,"Triple Triad",3,10,0,0,True,False,False,"Triple Triad: ★★★"
33,"ui/icon/076000/076534.tex",1,"Triple Triad",4,10,0,0,True,False,False,"Triple Triad: ★★★★"
34,"ui/icon/076000/076535.tex",1,"Triple Triad",5,10,0,0,True,False,False,"Triple Triad: ★★★★★"
35,"ui/icon/076000/076540.tex",1,"Triple Triad",12,10,0,0,True,False,False,"Triple Triad: 1"
36,"ui/icon/076000/076541.tex",1,"Triple Triad",13,10,0,0,True,False,False,"Triple Triad: 2"
37,"ui/icon/076000/076542.tex",1,"Triple Triad",14,10,0,0,True,False,False,"Triple Triad: 3"
38,"ui/icon/076000/076543.tex",1,"Triple Triad",15,10,0,0,True,False,False,"Triple Triad: 4"
39,"ui/icon/076000/076544.tex",1,"Triple Triad",16,10,0,0,True,False,False,"Triple Triad: 5"
40,"ui/icon/076000/076545.tex",1,"Triple Triad",17,10,0,0,True,False,False,"Triple Triad: 6"
41,"ui/icon/076000/076546.tex",1,"Triple Triad",18,10,0,0,True,False,False,"Triple Triad: 7"
42,"ui/icon/076000/076547.tex",1,"Triple Triad",19,10,0,0,True,False,False,"Triple Triad: 8"
43,"ui/icon/076000/076548.tex",1,"Triple Triad",20,10,0,0,True,False,False,"Triple Triad: 9"
44,"ui/icon/076000/076549.tex",1,"Triple Triad",21,10,0,0,True,False,False,"Triple Triad: A"
45,"ui/icon/076000/076539.tex",1,"Triple Triad",11,10,0,0,True,False,False,"Triple Triad: 0"
46,,0,"None",0,0,0,0,False,False,False,""
47,,0,"None",0,0,0,0,False,False,False,""
48,,0,"None",0,0,0,0,False,False,False,""
49,,0,"None",0,0,0,0,False,False,False,""
50,"ui/icon/076000/076301.tex",1,"Flags",2,10,0,0,True,False,False,"Gridanian Flag"
51,"ui/icon/076000/076302.tex",1,"Flags",1,10,0,0,True,False,False,"Lominsan Flag"
52,"ui/icon/076000/076303.tex",1,"Flags",3,10,0,0,True,False,False,"Ul'dahn Flag"
