key,0,1,2,3,4,5
#,InternalName,Name,Region,UserType,DataCenter,IsPublic
int32,str,str,byte,byte,WorldDCGroupType,bit&01
0,"crossworld","Dev",0,0,"Unknown",False
1,"reserved1","Dev",0,0,"Unknown",False
2,"c-contents","c-contents",0,0,"Elemental",False
3,"c-whiteae","c-whiteae",1,1,"Elemental",False
4,"c-baudinii","c-baudinii",0,0,"Elemental",False
5,"c-contents2","c-contents2",0,0,"Elemental",False
6,"c-funereus","c-funereus",1,1,"Elemental",False
16,"","",0,0,"Unknown",False
21,"Ravana","Ravana",9,7,"Elemental",True
22,"Bismarck","Bismarck",9,7,"Elemental",True
23,"Asura","Asura",3,1,"Elemental",True
24,"Belias","Belias",10,1,"Elemental",True
25,"Chaos","Chaos",0,1,"Elemental",False
26,"Hecatoncheir","Hecatoncheir",0,1,"Elemental",False
27,"Moomba","Moomba",0,1,"Elemental",False
28,"Pandaemonium","Pandaemonium",3,1,"Elemental",True
29,"Shinryu","Shinryu",10,1,"Elemental",True
30,"Unicorn","Unicorn",10,1,"Elemental",True
31,"Yojimbo","Yojimbo",10,1,"Elemental",True
32,"Zeromus","Zeromus",10,1,"Elemental",True
33,"Twintania","Twintania",7,5,"Elemental",True
34,"Brynhildr","Brynhildr",8,3,"Elemental",True
35,"Famfrit","Famfrit",5,3,"Elemental",True
36,"Lich","Lich",7,5,"Elemental",True
37,"Mateus","Mateus",8,3,"Elemental",True
38,"Shemhazai","Shemhazai",0,3,"Elemental",False
39,"Omega","Omega",6,5,"Elemental",True
40,"Jenova","Jenova",4,3,"Elemental",True
41,"Zalera","Zalera",8,3,"Elemental",True
42,"Zodiark","Zodiark",7,5,"Elemental",True
43,"Alexander","Alexander",2,1,"Elemental",True
44,"Anima","Anima",3,1,"Elemental",True
45,"Carbuncle","Carbuncle",1,1,"Elemental",True
46,"Fenrir","Fenrir",2,1,"Elemental",True
47,"Hades","Hades",3,1,"Elemental",True
48,"Ixion","Ixion",3,1,"Elemental",True
49,"Kujata","Kujata",1,1,"Elemental",True
50,"Typhon","Typhon",1,1,"Elemental",True
51,"Ultima","Ultima",2,1,"Elemental",True
52,"Valefor","Valefor",10,1,"Elemental",True
53,"Exodus","Exodus",5,3,"Elemental",True
54,"Faerie","Faerie",4,3,"Elemental",True
55,"Lamia","Lamia",5,3,"Elemental",True
56,"Phoenix","Phoenix",7,5,"Elemental",True
57,"Siren","Siren",4,3,"Elemental",True
58,"Garuda","Garuda",1,1,"Elemental",True
59,"Ifrit","Ifrit",2,1,"Elemental",True
60,"Ramuh","Ramuh",10,1,"Elemental",True
61,"Titan","Titan",3,1,"Elemental",True
62,"Diabolos","Diabolos",8,3,"Elemental",True
63,"Gilgamesh","Gilgamesh",4,3,"Elemental",True
64,"Leviathan","Leviathan",5,3,"Elemental",True
65,"Midgardsormr","Midgardsormr",4,3,"Elemental",True
66,"Odin","Odin",7,5,"Elemental",True
67,"Shiva","Shiva",7,5,"Elemental",True
68,"Atomos","Atomos",1,1,"Elemental",True
69,"Bahamut","Bahamut",2,1,"Elemental",True
70,"Chocobo","Chocobo",3,1,"Elemental",True
71,"Moogle","Moogle",6,5,"Elemental",True
72,"Tonberry","Tonberry",1,1,"Elemental",True
73,"Adamantoise","Adamantoise",4,3,"Elemental",True
74,"Coeurl","Coeurl",8,3,"Elemental",True
