key,0,1
#,ItemPouch,
int32,MJIItemPouch,int32
0,"Island Palm Leaf",0
1,"Island Palm Leaf",4
2,"Island Apple",0
3,"Island Branch",0
4,"Island Stone",0
5,"Island Laver",0
6,"Islewort",0
7,"Island Log",0
8,"Island Palm Log",0
9,"Island Vine",0
10,"Island Sap",0
11,"Island Copper Ore",0
12,"Island Tinsand",0
13,"Island Hemp",0
14,"Island Jellyfish",0
15,"Island Limestone",0
16,"Island Clay",0
17,"Island Cotton Boll",0
18,"Island Iron Ore",0
19,"Island Quartz",0
20,"Island Leucogranite",0
21,"Island Palm Leaf",0
22,"Island Resin",0
23,"Island Wood Opal",0
24,"Island Coal",0
25,"Island Mythril Ore",0
26,"Island Marble",0
27,"Island Spectrine",0
