key,0,1,2,3,4,5
#,Emote,UnlockCondition,,,SortKey,
int32,Emote,BannerCondition,uint16,uint16,uint16,byte
0,"","BannerCondition#1",0,0,0,1
1,"Straight Face","BannerCondition#1",0,0,0,2
2,"Smile","BannerCondition#1",0,0,0,3
3,"Grin","BannerCondition#1",0,0,0,4
4,"Smirk","BannerCondition#1",0,0,0,8
5,"Taunt","BannerCondition#1",0,0,0,9
6,"Shut Eyes","BannerCondition#1",0,0,0,10
7,"Sad","BannerCondition#1",0,0,0,11
8,"Scared","BannerCondition#1",0,0,0,12
9,"Amazed","BannerCondition#1",0,0,0,13
10,"Ouch","BannerCondition#1",0,0,0,14
11,"Annoyed","BannerCondition#1",0,0,0,15
12,"Alert","BannerCondition#1",0,0,0,16
13,"Worried","BannerCondition#1",0,0,0,17
14,"Big Grin","BannerCondition#2",0,0,0,24
15,"Reflect","BannerCondition#3",0,0,0,25
16,"Furrow","BannerCondition#1",0,0,0,26
17,"Scoff","BannerCondition#1",0,0,0,27
18,"Wink (Right)","BannerCondition#1",0,0,0,5
19,"Sneer","BannerCondition#1",0,0,0,18
20,"Pucker Up","BannerCondition#1",0,0,0,19
21,"Concentrate","BannerCondition#1",0,0,0,20
22,"Confused","BannerCondition#1",0,0,0,21
23,"Simper","BannerCondition#1",0,0,0,22
24,"Beam","BannerCondition#1",0,0,0,23
25,"Ponder","BannerCondition#4",0,0,0,28
26,"Wink (Left)","BannerCondition#1",0,0,0,6
27,"Endure","BannerCondition#5",0,0,0,29
28,"Fake Smile","BannerCondition#1",0,0,0,30
29,"Content","BannerCondition#1",0,0,0,7
